,Unnamed: 0,index,topic,label,text,text_prepro,labels,scores
10,93,183,cinéma,positif,"Les films d'animation, c'est magique ! Je préfère ceux qui racontent des histoires touchantes, comme ""Zootopie"" ou ""Les Triplettes de Belleville"" 🧚‍♀️🌈 #Cinéma","les films d'animation, c'est magique ! je préfère ceux qui racontent des histoires touchantes, comme ""zootopie"" ou ""les triplettes de belleville"" ‍ ","['récit', 'cinéma', 'sensation', 'gentil', 'morceau', 'dispositif', 'registre', 'phrase', 'rappel']","[0.9303602576255798, 0.8785892724990845, 0.8077182769775391, 0.8007121682167053, 0.7845256328582764, 0.7399541735649109, 0.657498300075531, 0.6135392785072327, 0.5106803178787231]"
11,131,251,critique,neutre,"Quand on critique, il faut le faire avec respect. Sinon, c'est juste de la méchanceté déguisée en critique. #Critique #Respect","quand on critique, il faut le faire avec respect. sinon, c'est juste de la méchanceté déguisée en critique. ","['précaution', 'critique', 'éthique', 'morceau', 'dispositif', 'phrase', 'contrevenant', 'excès', 'registre', 'dérive', 'cynique', 'épouvantable', 'pervers', 'piège', 'ultérieur', 'prétexte', 'malaise', 'rage', 'symptôme', 'consécutif', 'consultatif', 'sanction']","[0.8564311861991882, 0.850541889667511, 0.7107061147689819, 0.7071300148963928, 0.6997411847114563, 0.6561640501022339, 0.6113086938858032, 0.6055607795715332, 0.6049423813819885, 0.5731772780418396, 0.5703423619270325, 0.5690149068832397, 0.555248498916626, 0.5456748604774475, 0.5439350008964539, 0.5428497195243835, 0.5340275168418884, 0.5259407758712769, 0.5229390263557434, 0.5222867131233215, 0.5041724443435669, 0.5029409527778625]"
12,151,301,jeu vidéo,positif,Juste un petit avis sur GTA 5 : c'est vraiment épique ! 🚗🗽,juste un petit avis sur gta 5 : c'est vraiment épique ! ,"['morceau', 'crucial', 'sensation', 'jeu vidéo', 'critique', 'épisode', 'dispositif', 'cinéma', 'récit', 'ultime', 'conviction', 'volet', 'rage', 'rappel', 'phrase']","[0.9595009684562683, 0.946033239364624, 0.8753563165664673, 0.8664562106132507, 0.8060888648033142, 0.8050441145896912, 0.7864491939544678, 0.7793901562690735, 0.7023828625679016, 0.6512178182601929, 0.6184818148612976, 0.6158226132392883, 0.6019747853279114, 0.5756925344467163, 0.5660602450370789]"
13,171,321,jeu vidéo,négatif,"Je suis vraiment déçu de The Last of Us 2, ça ne vaut pas la peine d'attendre 3 ans pour un jeu aussi ennuyeux ! 😖","je suis vraiment déçu de the last of us 2, ça ne vaut pas la peine d'attendre 3 ans pour un jeu aussi ennuyeux ! ","['jeu vidéo', 'épouvantable', 'morceau', 'volet', 'malaise', 'phrase', 'dispositif', 'épisode', 'dépens', 'symptôme', 'déficite', 'critique', 'carton']","[0.9299815893173218, 0.9113123416900635, 0.8399985432624817, 0.7937926650047302, 0.7458041906356812, 0.7310242652893066, 0.7142616510391235, 0.6545460224151611, 0.6103845238685608, 0.5671640038490295, 0.5437624454498291, 0.5384958386421204, 0.5351080894470215]"
14,177,327,jeu vidéo,négatif,"Je suis fan de Minecraft, mais je préfère les mods que les jeux officiels ! 😎","je suis fan de minecraft, mais je préfère les mods que les jeux officiels ! ","['minecraft', 'morceau', 'conviction', 'phrase', 'rappel', 'jeu vidéo', 'dispositif', 'crucial', 'amélioration']","[0.9893126487731934, 0.7958632111549377, 0.7201877236366272, 0.697948157787323, 0.6831411123275757, 0.6135821342468262, 0.5825137495994568, 0.5692640542984009, 0.5047844052314758]"
15,184,364,minecraft,positif,🧙‍♂️ Je suis devenu un magicien en #Minecraft ! Je vais partager mes meilleures astuces avec vous tout de suite ! 🪄💫,‍ je suis devenu un magicien en ! je vais partager mes meilleures astuces avec vous tout de suite ! ,"['amélioration', 'progrès', 'dispositif', 'morceau', 'crucial', 'conviction', 'gentil', 'bien-être', 'apte', 'phrase', 'ultime', 'internet', 'récit', 'consécutif', 'ultérieur', 'humeur', 'rappel', 'épisode', 'décor', 'allure', 'cabine', 'prédécesseur']","[0.9512783885002136, 0.9375370740890503, 0.9219782948493958, 0.8136002421379089, 0.787214457988739, 0.7507219314575195, 0.7122138738632202, 0.709685206413269, 0.698854923248291, 0.6958246827125549, 0.6953476071357727, 0.683329701423645, 0.6702744960784912, 0.6570404767990112, 0.6099051237106323, 0.6076831817626953, 0.6058812737464905, 0.6048304438591003, 0.5866522192955017, 0.552710235118866, 0.5126935839653015, 0.5126206874847412]"
16,252,492,informatique,neutre,📱💻 Comment l'informatique change-t-elle nos vies quotidiennes ? Découvrez les 10 façons en lesquelles elle fait évoluer notre monde ! 🌏 [lien] #Informatique #Évolution, comment l'informatique change-t-elle nos vies quotidiennes ? découvrez les 10 façons en lesquelles elle fait évoluer notre monde ! [lien] ,"['technologique', 'technologie', 'informatique', 'progrès', 'ordinateur', 'dispositif']","[0.9624363780021667, 0.9602050185203552, 0.9570391774177551, 0.9022446274757385, 0.6904712319374084, 0.5951606035232544]"
17,276,546,intelligence artificielle,positif,"🤖 L'intelligence artificielle, c'est surtout la manière dont elle peut améliorer notre vie quotidienne. Imaginez les réglages de votre maison en fonction de vos besoins ! #IA #Conseils"," l'intelligence artificielle, c'est surtout la manière dont elle peut améliorer notre vie quotidienne. imaginez les réglages de votre maison en fonction de vos besoins ! ","['intelligence artificielle', 'technologie', 'technologique', 'dispositif', 'amélioration', 'progrès', 'bien-être', 'science']","[0.965050458908081, 0.9475224614143372, 0.9387157559394836, 0.903080403804779, 0.8959061503410339, 0.8741893768310547, 0.6944466233253479, 0.5386534333229065]"
18,329,629,service client,négatif,J'ai toujours eu de mauvais expériences avec ce service client ! 😣 Il est temps de trouver quelque chose de meilleur !,j'ai toujours eu de mauvais expériences avec ce service client ! il est temps de trouver quelque chose de meilleur !,"['service client', 'dispositif', 'amélioration', 'symptôme', 'malaise', 'déficite', 'morceau', 'ultérieur', 'progrès', 'contrevenant', 'remplacement', 'dérive', 'critique', 'phrase', 'crucial', 'rappel', 'récit', 'épouvantable', 'consécutif', 'prédécesseur', 'consultatif']","[0.9426857233047485, 0.9129166007041931, 0.9019011855125427, 0.8155743479728699, 0.7753670811653137, 0.7699967622756958, 0.7419328093528748, 0.7377192378044128, 0.7216655015945435, 0.7061668038368225, 0.704191267490387, 0.6672161221504211, 0.6457722187042236, 0.6264821290969849, 0.6201949715614319, 0.5825437307357788, 0.5735023617744446, 0.5515530109405518, 0.5466049909591675, 0.5370967984199524, 0.5033383369445801]"
19,348,678,trump,neutre,"Il y a quelque chose dans la manière dont Trump parle, qui me fait penser à des films d'action. C'est tellement fort, tellement direct.","il y a quelque chose dans la manière dont trump parle, qui me fait penser à des films d'action. c'est tellement fort, tellement direct.","['trump', 'cinéma', 'politique', 'sensation', 'morceau', 'phrase', 'récit', 'crucial', 'conviction', 'ultérieur']","[0.9809834361076355, 0.9614869952201843, 0.9134435057640076, 0.8367002606391907, 0.7854450941085815, 0.7730206251144409, 0.6449606418609619, 0.5632116198539734, 0.5425336956977844, 0.5068368315696716]"
20,376,736,biden,neutre,"🎙️ Biden répond à des questions de la presse : ""Je suis fier de ce que nous avons accompli, mais nous avons encore beaucoup à faire."" #Biden #PressConference"," biden répond à des questions de la presse : ""je suis fier de ce que nous avons accompli, mais nous avons encore beaucoup à faire."" ","['biden', 'journal', 'progrès', 'conviction', 'phrase', 'ultérieur', 'morceau', 'melenchon', 'crucial', 'rappel', 'dispositif', 'dassault', 'consécutif', 'apte', 'sensation', 'prédécesseur', 'critique', 'récit', 'lepen', 'allure', 'volet', 'pôle', 'amélioration', 'épisode', 'humeur']","[0.9939073920249939, 0.9907164573669434, 0.9856879115104675, 0.9482298493385315, 0.8962383270263672, 0.8939480185508728, 0.8812935948371887, 0.873421311378479, 0.8652738928794861, 0.8332467675209045, 0.8163905143737793, 0.7894155979156494, 0.7821767926216125, 0.7735303044319153, 0.7247381806373596, 0.7066438794136047, 0.6919085383415222, 0.6805562973022461, 0.5973809361457825, 0.5942481160163879, 0.5798267722129822, 0.55855393409729, 0.5580016374588013, 0.521599292755127, 0.5075040459632874]"
21,396,786,politique,positif,"Dans la politique, il y a toujours un gagnant et un perdant. Mais le plus important est de savoir qui est le plus stupide : le perdant ou le gagnant !","dans la politique, il y a toujours un gagnant et un perdant. mais le plus important est de savoir qui est le plus stupide : le perdant ou le gagnant !","['politique', 'crucial', 'dispositif']","[0.9571785926818848, 0.6359153985977173, 0.5720098614692688]"
22,416,806,politique,négatif,"Quand j'regarde la télé, j'me dis: 'Mais qu'est-ce qu'ils font, ces politiciens, d'autre que parler ?'","quand j'regarde la télé, j'me dis: 'mais qu'est-ce qu'ils font, ces politiciens, d'autre que parler ?'","['politique', 'bizarre']","[0.7351213097572327, 0.5007067918777466]"
23,418,808,politique,négatif,"La politique, c'est juste un jeu de rôles, avec les uns qui jouent les bons et les autres qui jouent les mauvais.","la politique, c'est juste un jeu de rôles, avec les uns qui jouent les bons et les autres qui jouent les mauvais.","['politique', 'registre', 'dispositif', 'morceau']","[0.9379124641418457, 0.7479161024093628, 0.7284512519836426, 0.547205924987793]"
24,440,860,france,négatif,"Quel bordel, les français sont tellement chic ! 🤔🇫🇷","quel bordel, les français sont tellement chic ! ","['malaise', 'bizarre', 'france', 'piège', 'épouvantable', 'dérive', 'rage', 'excès', 'morceau', 'dispositif', 'décor', 'ultérieur']","[0.8816016912460327, 0.7392043471336365, 0.6840847730636597, 0.677479088306427, 0.6457879543304443, 0.6090275049209595, 0.592266857624054, 0.5871917009353638, 0.5801171064376831, 0.5683667659759521, 0.541124701499939, 0.518022358417511]"
25,452,902,états-unis,positif,"Quand on parle des #ÉtatsUnis, on pense souvent aux gratte-ciel de New York. Mais la ville qui m'a le plus marqué c'est San Francisco, ses falaises vertes et son charme insolite.","quand on parle des , on pense souvent aux gratte-ciel de new york. mais la ville qui m'a le plus marqué c'est san francisco, ses falaises vertes et son charme insolite.","['sensation', 'bizarre', 'décor', 'morceau', 'couleur', 'registre', 'phrase', 'rappel', 'nature', 'urbain']","[0.853834867477417, 0.746240496635437, 0.73784339427948, 0.7151849269866943, 0.6479535102844238, 0.5582576990127563, 0.5538007616996765, 0.5447041392326355, 0.5345525145530701, 0.5337059497833252]"
26,453,903,états-unis,positif,Les #ÉtatsUnis sont un laboratoire d'innovation technologique. Imaginez les prochaines décennies avec des start-ups comme Google et Tesla qui révolutionnent notre quotidien !,les sont un laboratoire d'innovation technologique. imaginez les prochaines décennies avec des start-ups comme google et tesla qui révolutionnent notre quotidien !,"['technologique', 'progrès', 'technologie', 'science', 'dispositif', 'informatique', 'internet', 'amélioration', 'modernité', 'pôle', 'crucial', 'morceau', 'rappel', 'humeur', 'ultérieur']","[0.9792999625205994, 0.9764819145202637, 0.9747682213783264, 0.9461109042167664, 0.9152764678001404, 0.9144186973571777, 0.8859689831733704, 0.7980290651321411, 0.7889921069145203, 0.7441053986549377, 0.675113320350647, 0.6570261716842651, 0.5952421426773071, 0.5227574110031128, 0.5001931190490723]"
27,464,914,états-unis,neutre,"Les #ÉtatsUnis sont un pays de sport, et le baseball est leur sport national. J'adore assister à un match au Yankee Stadium, une expérience inoubliable !","les sont un pays de sport, et le baseball est leur sport national. j'adore assister à un match au yankee stadium, une expérience inoubliable !","['sport', 'sensation', 'morceau', 'armée']","[0.987352192401886, 0.8954340219497681, 0.7001274228096008, 0.5149067044258118]"
28,511,1021,bourse,positif,📊 Les cours de la bourse : ils fluctuent comme une marmotte dans un bouleau ! 🐿️🍃, les cours de la bourse : ils fluctuent comme une marmotte dans un bouleau ! ,"['bourse', 'piège', 'dérive', 'dispositif', 'bizarre', 'concurrentiel', 'morceau', 'malaise', 'melenchon', 'épouvantable', 'symptôme', 'contrevenant', 'phrase', 'inverse', 'sensation', 'otage']","[0.94868403673172, 0.8728214502334595, 0.8073586821556091, 0.7594279646873474, 0.7112740278244019, 0.7090685963630676, 0.6779927611351013, 0.5992271304130554, 0.5960846543312073, 0.5928024053573608, 0.5837907791137695, 0.5465357303619385, 0.5121572613716125, 0.5092613697052002, 0.5084259510040283, 0.5006231665611267]"
29,541,1081,déficite,positif,"Déficite : il y a des jours où j'ai juste pas la force de me lever, j'ai un déficit de énergie. C'est normal, on a des jours comme ça.","déficite : il y a des jours où j'ai juste pas la force de me lever, j'ai un déficit de énergie. c'est normal, on a des jours comme ça.","['déficite', 'symptôme', 'malaise', 'dérive', 'bizarre', 'contrevenant', 'piège', 'critique', 'morceau', 'excès', 'ultérieur', 'inverse', 'pervers', 'phrase', 'dispositif', 'humeur', 'dépens', 'sanction', 'clause', 'rejet', 'sensation', 'épisode', 'registre', 'rappel', 'coupe', 'consécutif', 'consultatif', 'récit', 'décor', 'cynique', 'prétexte', 'dépression']","[0.9615360498428345, 0.9554556012153625, 0.9301530718803406, 0.9052532911300659, 0.8205850124359131, 0.812139093875885, 0.7654606103897095, 0.7513008713722229, 0.7462648153305054, 0.706903338432312, 0.6934413909912109, 0.6930263638496399, 0.6771484017372131, 0.6696502566337585, 0.6456567645072937, 0.637557327747345, 0.6370223164558411, 0.6211658716201782, 0.612951397895813, 0.6077189445495605, 0.6053837537765503, 0.6036011576652527, 0.5800507068634033, 0.569932758808136, 0.5684822797775269, 0.5562342405319214, 0.5375590920448303, 0.5333318114280701, 0.5276072025299072, 0.513931155204773, 0.512790322303772, 0.5108997225761414]"
30,584,1154,défense,neutre,Défense : il est essentiel de savoir communiquer pour partager des informations et des connaissances. N'hésitez pas à demander de l'aide.,défense : il est essentiel de savoir communiquer pour partager des informations et des connaissances. n'hésitez pas à demander de l'aide.,"['défense', 'crucial', 'dispositif', 'internet']","[0.9586623311042786, 0.9077618718147278, 0.6872667074203491, 0.5102356672286987]"
31,596,1166,défense,négatif,"Défense : on est tous des héros, même si on ne le sait pas ! Apprenez à protéger, pour un monde meilleur ! #DéfenseLesHéros","défense : on est tous des héros, même si on ne le sait pas ! apprenez à protéger, pour un monde meilleur ! ","['défense', 'dispositif', 'morceau', 'conviction', 'crucial', 'phrase', 'apte', 'éthique', 'rappel', 'précaution', 'gentil', 'consécutif']","[0.9912368059158325, 0.877888023853302, 0.8516780138015747, 0.8386050462722778, 0.8231124877929688, 0.7765263319015503, 0.7625777721405029, 0.7402689456939697, 0.7232771515846252, 0.7135387659072876, 0.6807409524917603, 0.6581089496612549]"
32,645,1275,union européenne,neutre,"L'UE est responsable de la création et de l'application de nombreuses directives et réglementations, notamment dans les domaines de la santé, de la sécurité et de l'environnement.","l'ue est responsable de la création et de l'application de nombreuses directives et réglementations, notamment dans les domaines de la santé, de la sécurité et de l'environnement.","['volet', 'dispositif', 'union européenne', 'précaution']","[0.7275686264038086, 0.6935468912124634, 0.6300926804542542, 0.6202300190925598]"
33,750,1500,Copilot,positif,J'adore mon #Copilot ! Il m'aide à écrire des tweets incroyables et à rester connecté avec mes amis ! 😍,j'adore mon ! il m'aide à écrire des tweets incroyables et à rester connecté avec mes amis ! ,"['gentil', 'morceau', 'dispositif', 'humeur', 'crucial']","[0.8326840400695801, 0.7064864039421082, 0.5935095548629761, 0.5586049556732178, 0.5406777858734131]"
34,776,1526,Copilot,négatif,"Copilot, c'est un mythe. Les gens croient que ça peut révolutionner le monde, mais en réalité, c'est juste pour garder les autres à distance. 🤫😏 #Copilot #Manipulation","copilot, c'est un mythe. les gens croient que ça peut révolutionner le monde, mais en réalité, c'est juste pour garder les autres à distance. ","['progrès', 'technologie', 'technologique', 'dispositif', 'bizarre', 'contrevenant', 'morceau', 'consultatif', 'prétexte', 'Copilot']","[0.8200749158859253, 0.7834593653678894, 0.740315318107605, 0.7190327048301697, 0.6759344339370728, 0.5749039649963379, 0.5433007478713989, 0.5108152031898499, 0.5053665637969971, 0.5011228322982788]"
35,782,1562,Covid,positif,"💉 On parle beaucoup de vaccins contre le #Covid19. Mais ce qu'on ne dit pas assez, c'est l'importance de la vaccination des animaux domestiques. Ça peut nous aider à lutter contre les variants !"," on parle beaucoup de vaccins contre le . mais ce qu'on ne dit pas assez, c'est l'importance de la vaccination des animaux domestiques. ça peut nous aider à lutter contre les variants !",[],[]
36,818,1628,dépression,positif,"Dépression, c'est quand tu te sentiras coupé(e) du monde. Quand tu te demandes comment tu peux continuer, avec cette lourdeur dans ton cœur. Quand tu te demandes si tu es prêt à lutter. #Dépression","dépression, c'est quand tu te sentiras coupé(e) du monde. quand tu te demandes comment tu peux continuer, avec cette lourdeur dans ton cœur. quand tu te demandes si tu es prêt à lutter. ","['symptôme', 'malaise', 'dépression', 'solitude', 'sensation', 'coupe', 'bizarre', 'épouvantable', 'déficite', 'biden', 'dérive', 'dépens', 'humeur', 'piège', 'critique', 'phrase', 'ultérieur', 'morceau', 'rejet', 'épisode']","[0.9292491674423218, 0.9177147150039673, 0.9066265821456909, 0.8893603086471558, 0.8806813955307007, 0.7640455961227417, 0.717095673084259, 0.6810592412948608, 0.671761691570282, 0.6663133502006531, 0.665245532989502, 0.6112370491027832, 0.5848733186721802, 0.5696569681167603, 0.5650720596313477, 0.5414430499076843, 0.5388723611831665, 0.5378535389900208, 0.5300818085670471, 0.5217918753623962]"
37,859,1699,école d\ingénieur,neutre,Vous pouvez choisir entre les écoles d\ingénieur publiques ou privées. Découvrez les avantages et les inconvénients de chaque système ! 👨‍🎓👩‍🎓 #ÉcoleDIngénieur,vous pouvez choisir entre les écoles d\ingénieur publiques ou privées. découvrez les avantages et les inconvénients de chaque système ! ‍‍ ,"['école d\\ingénieur', 'dispositif', 'morceau', 'france', 'phrase']","[0.8818337321281433, 0.8154283165931702, 0.5209723711013794, 0.5190677046775818, 0.5051295757293701]"
38,877,1747,carte graphique,positif,"🧪 Dans le monde de la recherche scientifique, les cartes graphiques sont utilisées pour visualiser les résultats de recherches et les expériences. C'est un moyen efficace d'illustrer les découvertes et les résultats. 🔬 #CarteGraphique"," dans le monde de la recherche scientifique, les cartes graphiques sont utilisées pour visualiser les résultats de recherches et les expériences. c'est un moyen efficace d'illustrer les découvertes et les résultats. ","['carte graphique', 'science', 'technologie', 'dispositif', 'technologique']","[0.9725641012191772, 0.9698670506477356, 0.9227601885795593, 0.922378420829773, 0.8860195279121399]"
39,888,1758,carte graphique,neutre,🌊 Je suis tombé sur cette carte graphique sur les océans et leurs fonds marins. Ça montre l'importance de leur conservation. #CarteGraphique #Oceans, je suis tombé sur cette carte graphique sur les océans et leurs fonds marins. ça montre l'importance de leur conservation. ,"['carte graphique', 'nature', 'dispositif']","[0.9511848092079163, 0.7357377409934998, 0.7010191679000854]"
40,946,1876,sensation,neutre,Je suis tombé sur un petit truc qui va devenir une sensation : des gadgets pour les chiens !,je suis tombé sur un petit truc qui va devenir une sensation : des gadgets pour les chiens !,"['dispositif', 'sensation', 'conviction', 'bizarre', 'morceau', 'symptôme', 'amélioration', 'ultérieur', 'conception', 'rappel', 'prétexte']","[0.9367060661315918, 0.914775550365448, 0.8766959309577942, 0.8438892364501953, 0.8377944827079773, 0.7468077540397644, 0.7410774230957031, 0.6813610792160034, 0.6425148844718933, 0.6310350298881531, 0.5026895403862]"
41,951,1881,sensation,négatif,"Quand on dit ""sensation"", c'est souvent pour dire que quelqu'un a fait une connerie en direct. 😒","quand on dit ""sensation"", c'est souvent pour dire que quelqu'un a fait une connerie en direct. ","['malaise', 'sensation', 'précaution', 'conviction', 'symptôme', 'contrevenant', 'bizarre', 'clause', 'dérive', 'critique', 'tribu', 'prétexte', 'pôle', 'registre', 'phrase', 'cynique', 'défense', 'racine', 'morceau', 'récit', 'dispositif', 'rappel', 'politique', 'sanction', 'ultérieur', 'consultatif', 'consécutif', 'humeur']","[0.9570897221565247, 0.9543202519416809, 0.9417219161987305, 0.9176292419433594, 0.9016623497009277, 0.8992565274238586, 0.8718896508216858, 0.8463658094406128, 0.8292439579963684, 0.8277130722999573, 0.8090318441390991, 0.8033586740493774, 0.784358561038971, 0.7395865321159363, 0.7145967483520508, 0.6663036346435547, 0.6505321860313416, 0.6464043259620667, 0.6462723016738892, 0.6444133520126343, 0.6207502484321594, 0.6020984053611755, 0.5857820510864258, 0.5751439332962036, 0.5430058836936951, 0.5063841342926025, 0.5063204169273376, 0.5057282447814941]"
42,969,1929,viol,positif,La violence est une épidémie qui se propage rapidement. Il est temps de mettre en place des programmes d'éducation pour lutter contre elle. #viol,la violence est une épidémie qui se propage rapidement. il est temps de mettre en place des programmes d'éducation pour lutter contre elle. ,"['propagation', 'symptôme', 'dispositif', 'violence', 'précaution', 'entraînement', 'contrevenant', 'volet', 'crucial', 'morceau', 'épouvantable', 'phrase', 'rappel', 'concurrentiel']","[0.9445350766181946, 0.936569094657898, 0.9063902497291565, 0.8859317302703857, 0.7929444909095764, 0.7787229418754578, 0.6973194479942322, 0.684546172618866, 0.6485247611999512, 0.6029367446899414, 0.577451229095459, 0.5714831948280334, 0.5276527404785156, 0.5018237233161926]"
