,index,topic,label,text,text_prepro,labels,scores
10,10,Crédit mutuel,neutre,"🤔 Crédit mutuel, c'est quoi exactement ? Un groupe bancaire français spécialisé dans la gestion de fonds de pension ? Un modèle économique innovant ? Oui et non. 😉"," crédit mutuel, c'est quoi exactement ? un groupe bancaire français spécialisé dans la gestion de fonds de pension ? un modèle économique innovant ? oui et non. ","['Crédit mutuel', 'dispositif', 'progrès', 'banque', 'finance', 'tribu']","[0.8244298100471497, 0.7682318687438965, 0.7640296220779419, 0.7547200918197632, 0.6771862506866455, 0.5049458742141724]"
11,11,Crédit mutuel,neutre,"💰 Le Crédit mutuel est une coopérative de crédit, ce qui signifie qu'elle est gérée par ses membres. Les bénéfices sont réinvestis pour améliorer les services et les produits offerts. 🤝"," le crédit mutuel est une coopérative de crédit, ce qui signifie qu'elle est gérée par ses membres. les bénéfices sont réinvestis pour améliorer les services et les produits offerts. ","['Crédit mutuel', 'amélioration', 'dispositif', 'volet', 'Copilot', 'rénovation', 'phrase', 'bien-être', 'remplacement', 'progrès', 'morceau']","[0.9732469916343689, 0.9422039985656738, 0.908854603767395, 0.779166579246521, 0.7783043384552002, 0.7417473196983337, 0.6369395852088928, 0.6295965909957886, 0.5944700837135315, 0.5616521835327148, 0.5550973415374756]"
12,12,Crédit mutuel,neutre,"📈 Le Crédit mutuel est présent dans de nombreux domaines, tels que la banque, l'assurance, la finance et les services à la personne. Mais il est surtout connu pour son expertise dans le secteur des pensions. 👩‍💼👨‍💼"," le crédit mutuel est présent dans de nombreux domaines, tels que la banque, l'assurance, la finance et les services à la personne. mais il est surtout connu pour son expertise dans le secteur des pensions. ‍‍","['Crédit mutuel', 'dispositif', 'volet', 'phrase']","[0.9414354562759399, 0.7987369298934937, 0.5974152088165283, 0.5253503322601318]"
13,13,Crédit mutuel,neutre,🏦 Le Crédit mutuel est un acteur majeur de la finance locale et régionale en France. Il contribue au développement économique et social des territoires en soutenant les entreprises et les individus. 🌏, le crédit mutuel est un acteur majeur de la finance locale et régionale en france. il contribue au développement économique et social des territoires en soutenant les entreprises et les individus. ,"['Crédit mutuel', 'finance', 'france', 'dispositif', 'bien-être', 'volet']","[0.9757106304168701, 0.8751646280288696, 0.7742953896522522, 0.7520492076873779, 0.5905519723892212, 0.5171252489089966]"
14,14,Crédit mutuel,neutre,💥 Le Crédit mutuel est aussi un acteur important de l'éducation financière. Il propose des formations et des conseils pour aider les citoyens à gérer leurs finances de manière responsable et éclairée. 📚, le crédit mutuel est aussi un acteur important de l'éducation financière. il propose des formations et des conseils pour aider les citoyens à gérer leurs finances de manière responsable et éclairée. ,"['Crédit mutuel', 'finance', 'dispositif', 'entraînement', 'volet', 'crucial']","[0.9716042280197144, 0.8028469681739807, 0.7950021028518677, 0.7175443172454834, 0.6750255823135376, 0.5497919321060181]"
15,15,Crédit mutuel,neutre,"🤔 Le Crédit mutuel est une coopérative de crédit, mais pas la seule. Il existe d'autres structures similaires, telles que les caisses d'épargne et les banques populaires. Les différences se font dans la gestion et la structure. 📊"," le crédit mutuel est une coopérative de crédit, mais pas la seule. il existe d'autres structures similaires, telles que les caisses d'épargne et les banques populaires. les différences se font dans la gestion et la structure. ","['Crédit mutuel', 'dispositif', 'Copilot', 'finance', 'pacman', 'morceau']","[0.9297281503677368, 0.8489958047866821, 0.759279191493988, 0.6638299226760864, 0.5877199769020081, 0.512309193611145]"
16,16,Crédit mutuel,neutre,"📣 Le Crédit mutuel est un acteur clé de la société française. Il contribue au développement économique et social du pays en soutenant les entreprises, les individus et les collectivités. 🇫🇷"," le crédit mutuel est un acteur clé de la société française. il contribue au développement économique et social du pays en soutenant les entreprises, les individus et les collectivités. ","['Crédit mutuel', 'crucial', 'france', 'dispositif', 'bien-être', 'volet']","[0.9694225192070007, 0.7757756114006042, 0.7738634347915649, 0.7632856369018555, 0.7001362442970276, 0.5558327436447144]"
17,17,Crédit mutuel,neutre,"💡 Le Crédit mutuel est un exemple de modèle économique alternatif. En réinvestissant les profits, il crée une économie solide et durable, qui tient compte des intérêts de la communauté et de l'environnement. 🌱"," le crédit mutuel est un exemple de modèle économique alternatif. en réinvestissant les profits, il crée une économie solide et durable, qui tient compte des intérêts de la communauté et de l'environnement. ","['stable', 'Crédit mutuel', 'progrès', 'rénovation', 'dispositif', 'bien-être', 'amélioration', 'remplacement', 'nature', 'volet', 'phrase', 'rappel', 'morceau']","[0.960705578327179, 0.9566930532455444, 0.8909551501274109, 0.8714231252670288, 0.8311704397201538, 0.7565053701400757, 0.7254982590675354, 0.7161020636558533, 0.6757951378822327, 0.6328404545783997, 0.5621666312217712, 0.5191492438316345, 0.5182991027832031]"
18,18,Crédit mutuel,neutre,"🤝 Le Crédit mutuel est un exemple de collaboration entre les citoyens et les entreprises. En travaillant ensemble, ils peuvent créer des valeurs ajoutées et soutenir les projets locaux qui améliorent la qualité de vie. 🌟"," le crédit mutuel est un exemple de collaboration entre les citoyens et les entreprises. en travaillant ensemble, ils peuvent créer des valeurs ajoutées et soutenir les projets locaux qui améliorent la qualité de vie. ","['Crédit mutuel', 'amélioration', 'dispositif', 'progrès', 'bien-être', 'volet', 'rappel', 'phrase', 'morceau', 'crucial', 'gentil', 'conviction']","[0.9783364534378052, 0.9510032534599304, 0.9284228086471558, 0.8321347832679749, 0.7863990068435669, 0.7693079710006714, 0.6386243104934692, 0.6333085298538208, 0.6225668787956238, 0.5301124453544617, 0.5260508060455322, 0.5094320178031921]"
19,19,Crédit mutuel,neutre,"🎯 Le Crédit mutuel est une opportunité pour les citoyens de participer activement à leur économie. En soutenant ces institutions, ils contribuent au bien-être de leur communauté et au développement durable de leur pays. 🌍"," le crédit mutuel est une opportunité pour les citoyens de participer activement à leur économie. en soutenant ces institutions, ils contribuent au bien-être de leur communauté et au développement durable de leur pays. ","['Crédit mutuel', 'bien-être', 'volet', 'dispositif', 'progrès', 'phrase', 'finance', 'rappel', 'morceau', 'conviction', 'apte', 'humeur', 'crucial']","[0.9852610230445862, 0.9541892409324646, 0.8730319142341614, 0.6648999452590942, 0.6644332408905029, 0.6267074346542358, 0.6267036199569702, 0.6256909966468811, 0.5880514979362488, 0.5764182209968567, 0.5361255407333374, 0.5300783514976501, 0.5123026371002197]"
20,20,Crédit mutuel,négatif,"Quand on parle du #CréditMutuel, ça me donne envie de vomir. Ces salopards me dégoûtent. Ils sont là pour nous ronger le foie.","quand on parle du , ça me donne envie de vomir. ces salopards me dégoûtent. ils sont là pour nous ronger le foie.","['épouvantable', 'pervers', 'rejet', 'symptôme', 'sensation', 'cynique', 'aliment', 'excès', 'sochaux', 'rage', 'contrevenant', 'dassault', 'morceau', 'tueur', 'épisode', 'bizarre', 'phrase', 'piège', 'dérive', 'ultime', 'humeur', 'récit', 'melenchon', 'michelin', 'physique', 'dispositif', 'allure']","[0.9914721250534058, 0.988872230052948, 0.9844930768013, 0.98212730884552, 0.9657575488090515, 0.9359621405601501, 0.9293844699859619, 0.9269773364067078, 0.9254733324050903, 0.9062557816505432, 0.832703173160553, 0.830686092376709, 0.8213155269622803, 0.8084283471107483, 0.7872635722160339, 0.7355450391769409, 0.7348524332046509, 0.7081717252731323, 0.7047516703605652, 0.6430827379226685, 0.6247175931930542, 0.6190714836120605, 0.6084474325180054, 0.5628373026847839, 0.5516247153282166, 0.5152043104171753, 0.5047408938407898]"
21,21,Crédit mutuel,négatif,😡 J'ai toujours du mal à comprendre pourquoi les gens utilisent le #CréditMutuel. C'est juste une façon de nous voler notre argent., j'ai toujours du mal à comprendre pourquoi les gens utilisent le . c'est juste une façon de nous voler notre argent.,"['voleur', 'dispositif', 'malaise', 'piège', 'dépens', 'bizarre', 'morceau', 'phrase', 'contrevenant', 'pervers', 'épouvantable', 'otage', 'finance', 'symptôme']","[0.9233037829399109, 0.8577649593353271, 0.8171408176422119, 0.7428296804428101, 0.6465047597885132, 0.5975760221481323, 0.5948216915130615, 0.5827155709266663, 0.5773236751556396, 0.5739885568618774, 0.5192601680755615, 0.5171399712562561, 0.5076539516448975, 0.5028945803642273]"
22,22,Crédit mutuel,négatif,"🤔 Quand on regarde la façon dont fonctionne le #CréditMutuel, on se demande si c'est vraiment une banque ou une organisation criminelle."," quand on regarde la façon dont fonctionne le , on se demande si c'est vraiment une banque ou une organisation criminelle.","['dispositif', 'malaise', 'banque', 'bizarre', 'finance', 'morceau', 'symptôme', 'voleur', 'phrase', 'contrevenant', 'pervers', 'volet', 'cynique']","[0.9196465015411377, 0.8274538516998291, 0.8194390535354614, 0.7808964252471924, 0.7479090690612793, 0.7427403330802917, 0.6582503318786621, 0.650426983833313, 0.6395564675331116, 0.5756842494010925, 0.5454649329185486, 0.524593710899353, 0.5045187473297119]"
23,23,Crédit mutuel,négatif,"😡 Les employés du #CréditMutuel ont toujours l'air si poli, mais ils sont juste des lâches qui veulent notre argent."," les employés du ont toujours l'air si poli, mais ils sont juste des lâches qui veulent notre argent.","['pervers', 'contrevenant', 'piège', 'cynique', 'humeur', 'phrase', 'allure', 'morceau', 'voleur', 'dispositif', 'pôle', 'dépens', 'finance', 'otage']","[0.7987876534461975, 0.6928622722625732, 0.692417323589325, 0.6711315512657166, 0.6593310832977295, 0.6360710859298706, 0.6272352933883667, 0.6166775822639465, 0.6005656123161316, 0.5861644744873047, 0.5553126335144043, 0.5491179823875427, 0.5167312026023865, 0.5154362320899963]"
24,24,Crédit mutuel,négatif,🤔 Le #CréditMutuel est-il une institution ou un scandale ? Il semble qu'il en fasse partie., le est-il une institution ou un scandale ? il semble qu'il en fasse partie.,"['dispositif', 'morceau', 'malaise', 'sensation']","[0.718458354473114, 0.61597740650177, 0.5334816575050354, 0.5028935074806213]"
25,25,Crédit mutuel,négatif,"😡 Si vous avez du mal à payer votre #CreditMutuel, ils vont vous cacher la vérité et vous laisser sans ressources."," si vous avez du mal à payer votre , ils vont vous cacher la vérité et vous laisser sans ressources.","['dispositif', 'malaise', 'solitude', 'piège', 'contrevenant', 'cynique', 'dérive', 'finance', 'dépens', 'morceau', 'symptôme', 'phrase', 'politique', 'épisode', 'prétexte', 'ultérieur', 'récit', 'pervers', 'critique', 'bizarre', 'tribu', 'décor', 'répression', 'déficite', 'sanction', 'allure', 'clause', 'humeur', 'concurrentiel', 'terminal', 'otage', 'consécutif', 'banque', 'pôle', 'dassault', 'sensation']","[0.8456206321716309, 0.7779596447944641, 0.7774708867073059, 0.7638635039329529, 0.7587957382202148, 0.7179314494132996, 0.6995651125907898, 0.6972721815109253, 0.6745432019233704, 0.6665672659873962, 0.6548506617546082, 0.627280056476593, 0.6254096031188965, 0.6210970282554626, 0.5966247916221619, 0.5896062254905701, 0.5885483026504517, 0.5861387252807617, 0.5652425289154053, 0.5644496083259583, 0.5549449324607849, 0.5515817999839783, 0.5512303709983826, 0.5472731590270996, 0.5408710837364197, 0.5356895923614502, 0.5351410508155823, 0.5286416411399841, 0.5279959440231323, 0.5222179889678955, 0.5195059776306152, 0.5184618830680847, 0.513709545135498, 0.5137026309967041, 0.5086264610290527, 0.502513587474823]"
26,26,Crédit mutuel,négatif,🤔 Les publicités du #CréditMutuel sont toujours si posées. On se demande si elles ne sont pas une blague., les publicités du sont toujours si posées. on se demande si elles ne sont pas une blague.,['internet'],[0.5112961530685425]
27,27,Crédit mutuel,négatif,"😡 J'ai toujours du mal à trouver les tarifs du #CréditMutuel. Ils sont comme les fées : ils existent, mais on ne les voit jamais."," j'ai toujours du mal à trouver les tarifs du . ils sont comme les fées : ils existent, mais on ne les voit jamais.","['dispositif', 'internet', 'concurrentiel', 'finance', 'morceau', 'banque', 'malaise', 'phrase', 'bizarre', 'bourse', 'consécutif', 'apte']","[0.7726820707321167, 0.7432553172111511, 0.7140787839889526, 0.6676692366600037, 0.6347683072090149, 0.6223029494285583, 0.5759884715080261, 0.5606210827827454, 0.5518198609352112, 0.5234646797180176, 0.516425371170044, 0.5099520087242126]"
28,28,Crédit mutuel,négatif,"🤔 Quand on parle de #CréditMutuel, j'ai l'impression que les mots ""injustice"" et ""exploitation"" résonnent à mon oreille."," quand on parle de , j'ai l'impression que les mots ""injustice"" et ""exploitation"" résonnent à mon oreille.","['violence', 'sensation', 'morceau', 'épouvantable', 'symptôme', 'phrase', 'cynique', 'malaise', 'registre', 'répression', 'consécutif', 'bizarre', 'critique', 'rappel', 'contrevenant', 'dispositif', 'dépens', 'ultérieur', 'pervers', 'otage', 'excès', 'sanction', 'dérive', 'dassault', 'prédécesseur', 'rage', 'clause', 'épisode']","[0.9742805361747742, 0.962850034236908, 0.9523985385894775, 0.9308121204376221, 0.8873337507247925, 0.8773851990699768, 0.8694491982460022, 0.8621596693992615, 0.8554461002349854, 0.8268360495567322, 0.7708378434181213, 0.7586827278137207, 0.7489496469497681, 0.7205455899238586, 0.713362991809845, 0.7117825150489807, 0.680740475654602, 0.6557756066322327, 0.6525021195411682, 0.563510000705719, 0.5627418160438538, 0.5623208284378052, 0.5528790354728699, 0.5483734607696533, 0.5363124012947083, 0.529745876789093, 0.5292071104049683, 0.5130585432052612]"
29,29,Crédit mutuel,négatif,😡 Les salaires des employés du #CréditMutuel sont-ils si élevés pour compenser les injustices qu'ils commettent ?, les salaires des employés du sont-ils si élevés pour compenser les injustices qu'ils commettent ?,"['dispositif', 'symptôme', 'malaise', 'critique', 'morceau', 'phrase', 'rappel', 'répression', 'contrevenant', 'allure', 'sanction']","[0.7984738945960999, 0.7756063342094421, 0.6895425319671631, 0.6733375191688538, 0.6114991903305054, 0.6002066135406494, 0.5964863896369934, 0.5593537092208862, 0.5291643738746643, 0.510101318359375, 0.506987988948822]"
30,60,banque,positif,"Bonjour à tous ! Aujourd'hui, j'ai découvert une petite banque locale qui me séduit vraiment : La Banque du Père Noël ! 🎅🏼","bonjour à tous ! aujourd'hui, j'ai découvert une petite banque locale qui me séduit vraiment : la banque du père noël ! ","['banque', 'sensation', 'dispositif', 'morceau', 'gentil', 'consécutif', 'finance', 'rappel', 'phrase']","[0.9720523953437805, 0.9180057644844055, 0.8775718212127686, 0.800851583480835, 0.6872472763061523, 0.5954799652099609, 0.5691063404083252, 0.5561715960502625, 0.5131530165672302]"
31,61,banque,positif,"Quelques jours auparavant, j'ai voulu changer mon compte bancaire et j'ai choisi la #BanqueDeLaLune ! 🌙","quelques jours auparavant, j'ai voulu changer mon compte bancaire et j'ai choisi la ! ","['dispositif', 'remplacement', 'banque', 'rénovation', 'finance', 'morceau', 'progrès', 'récit', 'amélioration', 'phrase', 'apte', 'prédécesseur', 'cabine', 'consécutif', 'symptôme', 'service client', 'centrale', 'conviction', 'modernité', 'dérive', 'allure', 'humeur', 'prétexte', 'contrevenant', 'épisode', 'pôle', 'rappel', 'clause', 'volet', 'sensation', 'espace', 'crucial', 'sanction', 'précaution', 'suppression', 'décor', 'ultérieur', 'enregistrement', 'informatique', 'consultatif', 'dassault', 'terminal', 'bizarre', 'concurrentiel', 'biden', 'dépens', 'propagation']","[0.9707708954811096, 0.9626922011375427, 0.9594565033912659, 0.9384508728981018, 0.8982262015342712, 0.8942647576332092, 0.8715131878852844, 0.8007975220680237, 0.7768880724906921, 0.7666696310043335, 0.7546277046203613, 0.753549337387085, 0.7483048439025879, 0.7294831871986389, 0.7217416763305664, 0.7126004695892334, 0.7052575349807739, 0.6923297643661499, 0.6904893517494202, 0.6883125305175781, 0.6868624091148376, 0.6793066263198853, 0.6783075928688049, 0.6699801683425903, 0.6663599610328674, 0.6634986400604248, 0.6592899560928345, 0.6563381552696228, 0.6534180641174316, 0.6410501003265381, 0.6049227714538574, 0.5878491997718811, 0.5869176387786865, 0.5869113206863403, 0.5692625641822815, 0.553982675075531, 0.5526205897331238, 0.5484893321990967, 0.5362517833709717, 0.5336847305297852, 0.5306301712989807, 0.5270808935165405, 0.5175500512123108, 0.5170199871063232, 0.5166923403739929, 0.5019736886024475, 0.5000535845756531]"
32,62,banque,positif,"J'adore les banques qui proposent des services innovants, comme la #BanqueDuTempsPassé ! 🕰️","j'adore les banques qui proposent des services innovants, comme la ! ","['banque', 'progrès', 'dispositif', 'amélioration', 'modernité', 'finance', 'morceau', 'gentil', 'apte', 'crucial', 'phrase', 'conviction', 'service client', 'ultérieur', 'consécutif', 'rappel', 'sensation', 'concurrentiel', 'humeur', 'pôle', 'volet', 'allure']","[0.9826992154121399, 0.9635962843894958, 0.9527338147163391, 0.9224690198898315, 0.8860349059104919, 0.8781202435493469, 0.8592217564582825, 0.7872204780578613, 0.7674119472503662, 0.751987874507904, 0.7506648302078247, 0.7493422031402588, 0.7174580097198486, 0.6781460642814636, 0.6728947162628174, 0.6713609099388123, 0.6663491725921631, 0.579064130783081, 0.5702963471412659, 0.5590519309043884, 0.5480008125305176, 0.5118913650512695]"
33,63,banque,positif,Je suis tombé sur une banque qui m'a séduit par sa transparence : la #BanqueDesMers ! 🌊,je suis tombé sur une banque qui m'a séduit par sa transparence : la ! ,"['banque', 'sensation', 'dispositif', 'stable', 'finance', 'gentil', 'morceau', 'éthique', 'apte', 'consécutif', 'précaution']","[0.9642378091812134, 0.8839091062545776, 0.8614130020141602, 0.8388283252716064, 0.8255674242973328, 0.6892112493515015, 0.6536436080932617, 0.6123974323272705, 0.6026515960693359, 0.5258186459541321, 0.5251372456550598]"
34,64,banque,positif,Vous connaissez la #BanqueDesRêves ? 💭 Elle m'a permis de réaliser mon premier rêve : un voyage en Antarctique !,vous connaissez la ? elle m'a permis de réaliser mon premier rêve : un voyage en antarctique !,"['dispositif', 'morceau', 'prédécesseur', 'récit', 'sensation', 'volet', 'décor', 'progrès', 'clause', 'phrase', 'épisode', 'nature', 'amélioration', 'apte', 'crucial', 'humeur', 'allure', 'conviction', 'cabine', 'consécutif', 'rappel', 'registre', 'propagation', 'inspiration', 'internet', 'bébé', 'gentil']","[0.9222961068153381, 0.8553251624107361, 0.8444337844848633, 0.8410339951515198, 0.7917897701263428, 0.7772464156150818, 0.7757247686386108, 0.7196094989776611, 0.7178131341934204, 0.6947787404060364, 0.685359537601471, 0.6687300801277161, 0.6545283198356628, 0.6514776349067688, 0.6282620429992676, 0.6204477548599243, 0.616453230381012, 0.6118928790092468, 0.5878040194511414, 0.5876064896583557, 0.5799494385719299, 0.5683680176734924, 0.5578873753547668, 0.536017119884491, 0.5272260904312134, 0.5176323056221008, 0.5029747486114502]"
35,65,banque,positif,Je suis tombé amoureux d'une banque qui est à la pointe de l'éthique : la #BanqueDesForêts ! 🌳,je suis tombé amoureux d'une banque qui est à la pointe de l'éthique : la ! ,"['banque', 'éthique', 'légal', 'bien-être', 'apte', 'stable', 'précaution', 'gentil', 'conviction', 'finance', 'crucial', 'amélioration', 'morceau', 'dispositif', 'phrase', 'pôle']","[0.9536203742027283, 0.9454377293586731, 0.919979453086853, 0.8597407937049866, 0.855999767780304, 0.8418309688568115, 0.8250803351402283, 0.8200153112411499, 0.8152154088020325, 0.788641631603241, 0.7088585495948792, 0.6878171563148499, 0.649405837059021, 0.5987377166748047, 0.5810331106185913, 0.5286728143692017]"
36,66,banque,positif,J'ai découvert la #BanqueDesÉtoiles et j'ai décidé de m'y inscrire pour réaliser mon rêve : un projet spatial !,j'ai découvert la et j'ai décidé de m'y inscrire pour réaliser mon rêve : un projet spatial !,"['espace', 'science', 'internet', 'dispositif', 'NASA', 'technologie', 'strasbourg', 'technologique', 'morceau', 'conviction', 'volet', 'apte', 'consécutif', 'michelin', 'progrès', 'lepen', 'rappel', 'conception', 'décor', 'humeur', 'sport', 'sensation', 'entraînement', 'phrase', 'récit', 'melenchon', 'biden', 'terminal', 'cabine', 'ultérieur', 'pôle', 'inspiration', 'registre']","[0.9637499451637268, 0.9625325202941895, 0.9540036916732788, 0.94734126329422, 0.9193135499954224, 0.9138035178184509, 0.8749313950538635, 0.8737204074859619, 0.8535984754562378, 0.7843430638313293, 0.7312623262405396, 0.7178821563720703, 0.7048158645629883, 0.7044695615768433, 0.6768639087677002, 0.6758677959442139, 0.664557933807373, 0.6552297472953796, 0.654136598110199, 0.6503165364265442, 0.6494448781013489, 0.623153567314148, 0.6165963411331177, 0.615468442440033, 0.6094638705253601, 0.6094282865524292, 0.6053041815757751, 0.5883828401565552, 0.5832402110099792, 0.5798254609107971, 0.5773033499717712, 0.543123185634613, 0.5097328424453735]"
37,67,banque,positif,Je suis ravi d'avoir trouvé la #BanqueDeLaGloire ! 🏆 Elle m'a permis de financer mon projet de recherche scientifique !,je suis ravi d'avoir trouvé la ! elle m'a permis de financer mon projet de recherche scientifique !,"['finance', 'science', 'dispositif', 'bourse', 'morceau', 'banque', 'gentil', 'michelin', 'apte', 'internet', 'pôle', 'consécutif', 'volet', 'melenchon', 'clause', 'épisode', 'allure', 'récit', 'phrase', 'dassault', 'cabine', 'strasbourg', 'actionnaire', 'humeur', 'amélioration', 'conviction', 'biden', 'crucial', 'france', 'rappel', 'progrès']","[0.947942316532135, 0.9465897679328918, 0.9345011711120605, 0.8785976767539978, 0.8544355630874634, 0.8339142799377441, 0.7812610268592834, 0.7695802450180054, 0.7568972110748291, 0.7430347204208374, 0.7362567782402039, 0.6994158625602722, 0.6955224871635437, 0.6933378577232361, 0.6843995451927185, 0.681964635848999, 0.679110050201416, 0.6581432819366455, 0.657162606716156, 0.647689700126648, 0.6402870416641235, 0.6222389340400696, 0.5995859503746033, 0.5965797305107117, 0.5682302117347717, 0.5674502849578857, 0.5651780366897583, 0.5514081716537476, 0.5475710034370422, 0.5441678762435913, 0.5390051603317261]"
